word	count
_think_	2
kick	2
chimney	2
guess	2
“This	2
Bill,”	2
silence,	2
you?	2
squeaking	2
others.	2
voice;	2
instantly,	2
sense,	2
barrowful	2
doubt,	2
shower	2
pebbles	2
rattling	2
hit	2
floor,	2
delighted	2
Lizard,	2
guinea-pigs,	2
giving	2
rush	2
safe	2
wandered	2
again;	2
excellent	2
smallest	2
trees,	2
bark	2
paw,	2
air	2
delight,	2
mouth,	2
distance.	2
much,	2
other;	2
grass,	2
stretched	2
tiptoe,	2
folded,	2
smoking	2
else.	2
addressed	2
_you?_”	2
encouraging	2
morning,	2
then.”	2
“Explain	2
sir,”	2
bit,”	2
contemptuously.	2
gravely,	2
think,	2
are,	2
“Why?”	2
certainly:	2
all?”	2
“No,”	2
unfolded	2
busy	2
different!”	2
“_You	2
But,	2
Pray,	2
weak	2
_quite_	2
wrong	2
minutes.	2
be?”	2
changing	2
often,	2
now?”	2
wretched	2
“You’ll	2
yawned	2
merely	2
remarking	2
“One	2
Caterpillar,	2
difficult	2
broke	2
nibbled	2
violent	2
blow	2
bit.	2
foot,	2
lefthand	2
free	2
shoulders	2
sea	2
leaves	2
distant	2
violently	2
Pigeon.	2
Pigeon,	2
attending	2
Pigeon;	2
serpents	2
shriek,	2
serpent,	2
“Well!	2
changes	2
story	2
no!	2
You’re	2
telling	2
tasted	2
say.”	2
matters	2
_me_,”	2
then!”	2
sulky	2
entangled	2
pieces	2
first;	2
minutes,	2
place,	2
there,”	2
_this_	2
why,	2
next,	2
loudly	2
wood	2
Fish-Footman	2
invitation	2
croquet.”	2
repeated,	2
order	2
together.	2
ground	2
sky.	2
timidly	2
knocking,”	2
Footman,	2
secondly,	2
extraordinary	2
constant	2
remarked,	2
“till	2
him.	2
muttered	2
days	2
him,”	2
leaning	2
stirring	2
cauldron	2
moment’s	2
kitchen	2
cook,	2
ear	2
“why	2
again:—	2
_could_	2
do.”	2
introduce	2
throwing	2
impossible	2
not.	2
growl,	2
“Just	2
takes	2
singing	2
boy,	2
CHORUS.	2
“Wow!	2
wow!	2
wow!”	2
sang	2
words:—	2
thoroughly	2
threw	2
missed	2
creature,	2
directions,	2
twist	2
loud,	2
yourself.”	2
tears.	2
creature	2
neither	2
up,”	2
startled	2
grinned	2
far,”	2
go,”	2
“—so	2
direction,”	2
“lives	2
Cat:	2
here.	2
mad.	2
mad?”	2
here.”	2
with,”	2
Now	2
“_I_	2
yet.”	2
became	2
pig,”	2
raving	2
tree.	2
suddenly:	2
giddy.”	2
“All	2
life!”	2
sight	2
shaped	2
raised	2
“Suppose	2
front	2
asleep,	2
using	2
resting	2
Dormouse,”	2
No	2
room!”	2
wine,”	2
civil	2
laid	2
“Your	2
wants	2
personal	2
“Exactly	2
mean,”	2
Hare,	2
“Two	2
angrily	2
_best_	2
well,”	2
tells	2
“Does	2
year	2
puzzled.	2
yet?”	2
replied:	2
cautiously	2
music.”	2
“Ah!	2
(“I	2
hungry	2
verse,”	2
time!	2
Off	2
“he	2
sigh:	2
we’ve	2
wash	2
suppose?”	2
up.”	2
again?”	2
interrupted,	2
lady	2
“Wake	2
pinched	2
once.	2
eyes.	2
hurry;	2
on?”	2
questions	2
ill.”	2
were,”	2
Dormouse;	2
like,	2
on:	2
well?”	2
“Take	2
this:	2
bread-and-butter,	2
sulkily	2
learning	2
“Treacle,”	2
time.	2
on.”	2
advantage	2
upset	2
treacle	2
interrupting	2
rubbing	2
silent.	2
closed	2
“Really,	2
once.”	2
painting	2
Five!	2
beheaded!”	2
for?”	2
business!”	2
instead	2
nothing,	2
Miss,	2
rose-tree,	2
best,	2
themselves	2
carrying	2
ornamented	2
royal	2
King’s	2
crown	2
crimson	2
procession,	2
doubtful	2
lie	2
rule	2
faces,	2
waited.	2
procession	2
smiled	2
“What’s	2
“My	2
soldiers,	2
know?”	2
child!”	2
“Turn	2
“Get	2
Majesty!”	2
silent,	2
fine	2
side.	2
“She’s	2
‘What	2
“She	2
body	2
generally,	2
unrolled	2
players	2
turns,	2
quarrelling	2
stamping	2
shouting	2
dispute	2
“what	2
come,	2
game,	2
confusing	2
Cat’s	2
friend	2
King:	2
book,	2
myself,”	2
executed	2
fight	2
flamingo	2
sight:	2
collected	2
entirely	2
wildly	2
forget	2
hasn’t	2
keeping	2
chin.	2
“’Tis	2
’tis	2
love,	2
anxious	2
mustard	2
is,”	2
agree	2
said;	2
otherwise	2
surprise,	2
word,	2
guests	2
players,	2
custody	2
executions	2
watched	2
fancy,	2
that:	2
nobody,	2
sighing	2
heart	2
_ever_	2
These	2
heavy	2
sobbing	2
didn’t!”	2
tongue!”	2
proud	2
relief.	2
regular	2
surprise.	2
faces	2
subject.	2
lessons,”	2
deeply,	2
sobs	2
recovered	2
delightful	2
indeed,”	2
dance	2
sea!”	2
treading	2
mark	2
us,	2
pale,	2
whiting,”	2
thoughtfully.	2
“They’re	2
impatiently:	2
thoughts	2
fish	2
adventures	2
[later	2
editions	2
follows	2
tones	2
“Go	2
Owl	2
finished,	2
“Beautiful	2
evening,	2
Soo—oop	2
cares	2
Soup?	2
parchment	2
other.	2
done,”	2
twelve	2
quickly	2
blew	2
blasts	2
trumpet,	2
summer	2
“Consider	2
jury.	2
witness!”	2
bread-and-butter	2
sent	2
all:	2
“not	2
list	2
man,	2
“—and	2
week	2
deny	2
remember,”	2
miserable	2
cheered,	2
reading	2
Majesty	2
cross-examine	2
witness.”	2
him!	2
jurymen	2
goldfish	2
before.	2
jury-box,	2
Lizard	2
“_Un_important,	2
mile	2
high,”	2
directed	2
jurymen.	2
signed	2
returned	2
atom	2
sister,	2
wonderful	2
around	2
grass	2
teacups	2
ALICE’S	1
ADVENTURES	1
IN	1
WONDERLAND	1
***	1
Produced	1
Arthur	1
DiBianca	1
David	1
Widger	1
[Illustration]	1
Lewis	1
Carroll	1
MILLENNIUM	1
FULCRUM	1
EDITION	1
3.0	1
Contents	1
do:	1
twice	1
reading,	1
conversations	1
“without	1
conversations?”	1
stupid),	1
daisy-chain	1
daisies,	1
pink	1
that;	1
late!”	1
(when	1
afterwards,	1
wondered	1
natural);	1
actually	1
_took	1
waistcoat-pocket_,	1
flashed	1
rabbit	1
waistcoat-pocket,	1
burning	1
field	1
fortunately	1
pop	1
hedge.	1
tunnel	1
stopping	1
Either	1
plenty	1
well,	1
book-shelves;	1
maps	1
hung	1
pegs.	1
shelves	1
passed;	1
labelled	1
“ORANGE	1
MARMALADE”,	1
disappointment	1
empty:	1
drop	1
killing	1
underneath,	1
past	1
“Well!”	1
“after	1
stairs!	1
brave	1
home!	1
house!”	1
true.)	1
end?	1
time?”	1
somewhere	1
centre	1
(for,	1
schoolroom,	1
knowledge,	1
practice	1
over)	1
“—yes,	1
distance—but	1
say.)	1
_through_	1
earth!	1
downward!	1
Antipathies,	1
word)	1
“—but	1
country	1
Please,	1
Ma’am,	1
New	1
Zealand	1
Australia?”	1
(and	1
curtsey	1
spoke—fancy	1
_curtseying_	1
air!	1
it?)	1
ignorant	1
asking!	1
ask:	1
somewhere.”	1
“Dinah’ll	1
miss	1
to-night,	1
think!”	1
(Dinah	1
cat.)	1
saucer	1
milk	1
tea-time.	1
bat,	1
bats,	1
sleepy,	1
dreamy	1
bats?	1
bats?”	1
sometimes,	1
bats	1
cats?”	1
dozing	1
earnestly,	1
truth:	1
bat?”	1
suddenly,	1
heap	1
sticks	1
hurt,	1
moment:	1
overhead;	1
hurrying	1
lost:	1
whiskers,	1
getting!”	1
seen:	1
long,	1
lit	1
lamps	1
roof.	1
locked;	1
Suddenly	1
solid	1
glass;	1
belong	1
hall;	1
locks	1
large,	1
small,	1
curtain	1
fifteen	1
lock,	1
delight	1
fitted!	1
rat-hole:	1
knelt	1
passage	1
loveliest	1
saw.	1
wander	1
beds	1
fountains,	1
doorway;	1
through,”	1
shoulders.	1
telescope!	1
For,	1
lately,	1
impossible.	1
telescopes:	1
(“which	1
label,	1
printed	1
letters.	1
“Drink	1
‘_poison_’	1
not”;	1
histories	1
burnt,	1
eaten	1
beasts	1
them:	1
red-hot	1
poker	1
long;	1
deeply	1
knife,	1
bleeds;	1
disagree	1
later.	1
nice,	1
had,	1
flavour	1
cherry-tart,	1
custard,	1
pine-apple,	1
roast	1
turkey,	1
toffee,	1
buttered	1
toast,)	1
feeling!”	1
telescope.”	1
indeed:	1
shrink	1
further:	1
end,	1
candle.	1
then?”	1
flame	1
blown	1
thing.	1
once;	1
alas	1
plainly	1
climb	1
slippery;	1
trying,	1
sharply;	1
advise	1
minute!”	1
advice,	1
(though	1
seldom	1
scolded	1
eyes;	1
cheated	1
pretending	1
people.	1
pretend	1
people!	1
respectable	1
person!”	1
Soon	1
table:	1
“EAT	1
ME”	1
currants.	1
key;	1
creep	1
door;	1
happens!”	1
ate	1
way?	1
way?”,	1
eats	1
happen,	1
stupid	1
common	1
work,	1
cake.	1
“Curiouser	1
curiouser!”	1
surprised,	1
English);	1
“now	1
largest	1
telescope	1
was!	1
Good-bye,	1
feet!”	1
(for	1
off).	1
stockings	1
dears?	1
able!	1
you:	1
can;—but	1
go!	1
Christmas.”	1
planning	1
carrier,”	1
thought;	1
seem,	1
one’s	1
feet!	1
odd	1
directions	1
look!	1
_Alice’s	1
Right	1
Foot,	1
Esq.,	1
Hearthrug,	1
Fender,_	1
(_with	1
love_).	1
nonsense	1
talking!”	1
hall:	1
Poor	1
hopeless	1
ever:	1
yourself,”	1
this),	1
way!	1
Stop	1
shedding	1
gallons	1
reaching	1
hall.	1
dried	1
returning,	1
splendidly	1
dressed,	1
hurry,	1
Oh!	1
waiting!”	1
desperate	1
sir—”	1
fan,	1
skurried	1
darkness	1
go.	1
hall	1
hot,	1
fanning	1
talking:	1
“Dear,	1
to-day!	1
night?	1
think:	1
morning?	1
different.	1
I?	1
Ah,	1
puzzle!”	1
Ada,”	1
ringlets,	1
ringlets	1
little!	1
Besides,	1
_she’s_	1
I,	1
is!	1
five	1
twelve,	1
thirteen,	1
seven	1
is—oh	1
twenty	1
rate!	1
Multiplication	1
Table	1
signify:	1
Geography.	1
London	1
Paris,	1
Paris	1
Rome,	1
Rome—no,	1
certain!	1
Mabel!	1
‘_How	1
little_—’”	1
lessons,	1
strange,	1
do:—	1
crocodile	1
Improve	1
shining	1
pour	1
waters	1
Nile	1
scale!	1
cheerfully	1
claws,	1
welcome	1
fishes	1
jaws!”	1
words,”	1
Mabel	1
poky	1
toys	1
with,	1
It’ll	1
‘Come	1
dear!’	1
‘Who	1
then?	1
person,	1
up:	1
else’—but,	1
oh	1
burst	1
here!”	1
measure	1
guess,	1
rapidly:	1
holding,	1
avoid	1
altogether.	1
narrow	1
escape!”	1
existence;	1
garden!”	1
speed	1
door:	1
child,	1
never!	1
declare	1
